,Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
434,435,399.0,53,262,,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,48000,,1590.0,3225.6,"4,307,000",,,530.0,Submitted,3.0,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100.0,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,743",179669
435,436,400.0,42,18,,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Development Engineering,IBM,United States,2013,Vendor,62944,,1587.0,1931.63,,,,3575.63,Submitted,0.44,,MPP,POWER7 8C 3.84GHz,Power,3836.0,Linux,Linux,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,"50,515",178322
438,439,403.0,53,266,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,88800,,1569.0,6535.68,"5,524,000",,,1150.0,Submitted,1.36,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179675
439,440,404.0,52,198,SGSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",State Grid Corp,Sugon,China,2018,Industry,92000,,1562.0,3238.4,"7,167,000",,,960.0,Submitted,1.63,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200.0,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,610",179545
448,449,413.0,48,67,LANL CTS-1 Grizzly,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Los Alamos National Laboratory,Penguin Computing,United States,2016,Research,53352,,1524.72,1792.63,"4,268,160",,,603.4,Submitted,2.53,,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100.0,Linux/TOSS,Linux,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,"48,276",178972
455,456,,56,456,Jade2,"Nvidia DGX1-MaxQ, Xeon E5-2698v4 20C 2.2GHz, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",University of Oxford,Atos,United Kingdom,2020,Academic,42840,"40,320",1473.0,3931.2,"1,448,448",,,113.0,Submitted,13.04,,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200.0,Linux,Linux,NVIDIA Tesla V100 SXM2,20,Intel Xeon E5 (Broadwell),Nvidia DGX1-MaxQ,Nvidia DGX1-MaxQ,Infiniband,Mellanox HDR Infiniband,Europe,"50,702",179867
457,458,421.0,54,373,Satori,"IBM Power System AC922, IBM POWER9  20C 2.4GHz, Infiniband EDR, NVIDIA Tesla V100 SXM2","MIT/MGHPCC Holyoke, MA",IBM,United States,2019,Academic,23040,"20,480",1464.0,1739.78,"2,582,016",,30.69,94.0,Submitted,15.57,,Cluster,IBM POWER9  20C 2.4GHz,Power,2400.0,RHEL 7.6,Linux,NVIDIA Tesla V100 SXM2,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Infiniband EDR,North America,"50,822",179780
459,460,423.0,45,40,Salomon,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Intel Xeon Phi 7120P","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czechia,2015,Academic,76896,"52,704",1457.73,2011.64,"2,838,528",,,4806.0,Submitted,0.3,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500.0,CentOS,Linux,Intel Xeon Phi 7120P,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Europe,"50,561",178525
462,463,426.0,52,217,,"Huawei G5500, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, 100G Ethernet",Chinese Bank A,Huawei,China,2018,Others,26180,"24,640",1432.9,2153.54,"1,186,560",,,159.94,Submitted,8.96,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400.0,Linux,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Huawei G5500,Huawei Cluster,Gigabit Ethernet,100G Ethernet,Asia,"50,794",179573
463,464,427.0,53,286,HSystem19,"Sugon TC6000, Xeon Silver 4114 10C 2.2GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,82000,,1432.0,5772.8,"5,754,000",,,1310.0,Submitted,1.09,,Cluster,Xeon Silver 4114 10C 2.2GHz,Intel Skylake,2200.0,CentOS,Linux,None,10,Xeon Silver,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,707",179664
465,466,429.0,39,13,Blue Joule,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,131072,,1431.1,1677.72,,,,657.0,Submitted,2.18,,MPP,Power BQC 16C 1.6GHz,PowerPC,1600.0,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Europe,"47,670",177723
466,467,430.0,52,220,Pre Earth Simulatorv2,"Sugon Si-Cube, Xeon E5-2680v3 12C 2.5GHz, 56Gb 3D-Torus","Institute of Atmospheric Physics, Chinese Academy of Sciences",Sugon,China,2018,Research,48000,,1428.0,1920.0,"5,076,000",,,600.0,Submitted,2.38,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500.0,CentOS,Linux,None,12,Intel Xeon E5 (Haswell),Sugon Si-Cube,Sugon Cluster,Infiniband,56Gb 3D-Torus,Asia,"50,740",179528
467,468,431.0,52,221,XJSCSystem,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla P100, Infiniband FDR",Xinjiang SC Center,Sugon,China,2018,Government,30240,"26,880",1418.0,2413.82,"936,000",,,240.0,Submitted,5.91,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400.0,CentOS,Linux,NVIDIA Tesla P100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband FDR,Asia,"50,790",179557
468,469,432.0,52,222,HKVSSystem,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,82800,,1417.0,2914.56,"6,799,000",,,850.0,Submitted,1.67,,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200.0,CentOS,Linux,None,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,707",179533
469,470,433.0,52,223,BtACC,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDR",Baotou Advanced Computing Center,Sugon,China,2018,Government,52080,,1416.0,1999.87,"4,895,000",,,560.0,Submitted,2.53,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400.0,CentOS,Linux,None,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband FDR,Asia,"50,781",179530
470,471,434.0,40,69,Spirit,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Air Force Research Laboratory,HPE,United States,2012,Government,73584,,1415.47,1530.55,"3,128,832",,,1606.0,Submitted,0.88,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600.0,Redhat Enterprise Linux 6,Linux,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,"49,284",177935
473,474,437.0,51,466,,"Inspur TS10000 HPC Server, Xeon Gold 6226 12C 2.7GHz, Infiniband HDR, NVIDIA Tesla V100",Central China Normal University,Inspur,China,2018,Research,25232,"24,320",1411.0,2226.56,"1,022,000",,,130.0,Submitted,10.85,,Cluster,Intel Xeon Gold 6226 12C 2.7GHz,Intel Cascade lake,2700.0,Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold 62xx (Cascade Lake),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,Infiniband HDR,Asia,"50,763",179399
474,475,438.0,53,294,Bsystem,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,78720,,1407.0,5793.79,"5,201,000",,,1050.0,Submitted,1.34,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179674
475,476,439.0,52,225,TSystem,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,78000,,1405.0,5740.8,"6,024,000",,,800.0,Submitted,1.76,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300.0,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,743",179537
477,478,441.0,52,226,GSACC,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 100Gb 6D-Torus",GanSu Advanced Computing Center,Sugon,China,2018,Government,28000,,1405.0,2329.6,"3,590,000",,,350.0,Submitted,4.01,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600.0,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,100Gb 6D-Torus,Asia,"50,780",179529
482,483,446.0,52,229,GCloud,"Sugon TC6000, Xeon E5-2680v4 14C 2.4GHz, NVIDIA Tesla V100, 10G Ethernet",MCloud Company,Sugon,China,2018,Industry,30624,"28,160",1389.0,2459.0,"829,000",,,176.0,Submitted,7.89,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400.0,CentOS,Linux,NVIDIA Tesla V100,14,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,788",179554
483,484,447.0,53,302,Bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,43200,,1379.0,2903.04,"4,086,000",,,480.0,Submitted,2.87,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100.0,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,"50,743",179668
484,485,448.0,47,62,Sid,"bullx DLC 720, Xeon E5-2695v4 18C 2.1GHz, Infiniband FDR",Atos,Atos,France,2016,Vendor,49896,,1363.48,1676.51,"2,439,936",,16.68,543.0,Submitted,2.51,,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100.0,bullx SCS,Linux,None,18,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,"50,630",178811
486,487,450.0,39,9,Curie thin nodes,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,Atos,France,2012,Research,77184,,1359.0,1667.17,"5,757,528",,50.99,2132.0,Submitted,0.64,,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700.0,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Europe,"50,414",177818
492,493,456.0,52,235,SGSystem,"Sugon TC6000, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",SPGrid,Sugon,China,2018,Government,78720,,1345.0,2770.94,"6,052,000",,,810.0,Submitted,1.66,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200.0,CentOS,Linux,None,12,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,"50,785",179540
493,494,457.0,53,311,Earth Bigdata,"Sugon TC6000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR","Computer Network Information Center, Chinese Academy of Science",Sugon,China,2019,Academic,24000,,1344.0,1920.0,"3,730,000",,,230.0,Submitted,5.84,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500.0,CentOS,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,"47,553",179683
494,495,458.0,49,87,Cedar,"Dell C4130, Xeon E5-2650v4 12C 2.2GHz, Intel Omni-Path, NVIDIA Tesla P100",Simon Fraser University/Compute Canada,Dell EMC,Canada,2017,Academic,35712,"32,256",1337.0,2863.41,"940,800",,,167.0,Submitted,8.01,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200.0,CentOS,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Broadwell),Dell C4130,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,"50,722",179113
495,496,459.0,52,237,,"HPE SGI 8600, Xeon Gold 6148 20C 2.4GHz, 4xEDR Infiniband",Central Research Institute of Electric Power Industry/CRIEPI,HPE,Japan,2018,Research,26400,,1326.25,2027.52,"2,525,184",,,357.55,Submitted,3.71,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,Red Hat Enterprise Linux,Linux,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,4xEDR Infiniband,Asia,"47,530",179563
496,497,460.0,50,96,Taiwania,"PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",National Center for High Performance Computing,Fujitsu,Taiwan,2017,Research,27200,,1325.15,2088.96,"3,707,904",,,332.0,Submitted,3.99,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400.0,Linux,Linux,None,20,Xeon Gold,PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4,Fujitsu PRIMERGY,Omnipath,Intel Omni-Path,Asia,"48,468",179170
